year,month,day,hour,Prijs
2013,1,1,0,0.03297
2013,1,1,1,0.03296
2013,1,1,2,0.0326
2013,1,1,3,0.03153
2013,1,1,4,0.03055
2013,1,1,5,0.02932
2013,1,1,6,0.02693
2013,1,1,7,0.02709
2013,1,1,8,0.02918
2013,1,1,9,0.02827
2013,1,1,10,0.03213
2013,1,1,11,0.03231
2013,1,1,12,0.03286
2013,1,1,13,0.03295
2013,1,1,14,0.03275
2013,1,1,15,0.03364
2013,1,1,16,0.03494
2013,1,1,17,0.03993
2013,1,1,18,0.04494
2013,1,1,19,0.04338
2013,1,1,20,0.04335
2013,1,1,21,0.037
2013,1,1,22,0.03996
2013,1,1,23,0.033
2013,1,2,0,0.03406
2013,1,2,1,0.03386
2013,1,2,2,0.03243
2013,1,2,3,0.03218
2013,1,2,4,0.03297
2013,1,2,5,0.03011
2013,1,2,6,0.03424
2013,1,2,7,0.06139
2013,1,2,8,0.0575
2013,1,2,9,0.06005
2013,1,2,10,0.06612
2013,1,2,11,0.06612
2013,1,2,12,0.06612
2013,1,2,13,0.06719
2013,1,2,14,0.06493
2013,1,2,15,0.04993
2013,1,2,16,0.04956
2013,1,2,17,0.07494
2013,1,2,18,0.05989
2013,1,2,19,0.0571
2013,1,2,20,0.05159
2013,1,2,21,0.04744
2013,1,2,22,0.05244
2013,1,2,23,0.04368
2013,1,3,0,0.03824
2013,1,3,1,0.0344
2013,1,3,2,0.03322
2013,1,3,3,0.03339
2013,1,3,4,0.03273
2013,1,3,5,0.03427
2013,1,3,6,0.03438
2013,1,3,7,0.04266
2013,1,3,8,0.05601
2013,1,3,9,0.05601
2013,1,3,10,0.055
2013,1,3,11,0.05672
2013,1,3,12,0.05908
2013,1,3,13,0.06144
2013,1,3,14,0.06144
2013,1,3,15,0.05994
2013,1,3,16,0.05435
2013,1,3,17,0.0844
2013,1,3,18,0.08494
2013,1,3,19,0.0768
2013,1,3,20,0.05601
2013,1,3,21,0.05601
2013,1,3,22,0.04996
2013,1,3,23,0.05322
2013,1,4,0,0.05496
2013,1,4,1,0.04994
2013,1,4,2,0.04144
2013,1,4,3,0.0352
2013,1,4,4,0.03477
2013,1,4,5,0.03315
2013,1,4,6,0.0352
2013,1,4,7,0.05
2013,1,4,8,0.0534
2013,1,4,9,0.05577
2013,1,4,10,0.05925
2013,1,4,11,0.06289
2013,1,4,12,0.06171
2013,1,4,13,0.06
2013,1,4,14,0.05596
2013,1,4,15,0.05
2013,1,4,16,0.05
2013,1,4,17,0.07399
2013,1,4,18,0.05696
2013,1,4,19,0.05452
2013,1,4,20,0.04928
2013,1,4,21,0.053
2013,1,4,22,0.04993
2013,1,4,23,0.05103
2013,1,5,0,0.04862
2013,1,5,1,0.04113
2013,1,5,2,0.03247
2013,1,5,3,0.03241
2013,1,5,4,0.03793
2013,1,5,5,0.03793
2013,1,5,6,0.03994
2013,1,5,7,0.03569
2013,1,5,8,0.04494
2013,1,5,9,0.05901
2013,1,5,10,0.06286
2013,1,5,11,0.06667
2013,1,5,12,0.06799
2013,1,5,13,0.0615
2013,1,5,14,0.05903
